accuracy,latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),index,qos,strategy,cpu-freq,layer,edge-accelerator,server-accelerator
0.699,122.585588671,92.78353075715565,0.3729243728783011,10.519159508,100.516633,11.54979616300001,92.41060638427734,6.861063003540039,1.7000000476837158,10.729999542236328,81.3,588.025390625,21,2528.051667148774,cloud,1800,0,off,True
0.699,3928.06817878,16.817458883701562,16.817458883701562,3928.068168595,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,21,2528.051667148774,edge,1800,19,off,False
0.699,4400.71158437,78.8674985634208,16.91954247821572,4290.632840046,69.180542,40.89820232400058,61.94795608520508,4.104783058166504,1.7000000476837158,0.0,25.1,591.021484375,21,2528.051667148774,energy,1600,16,off,True
0.699,118.750589142,89.55157140897037,0.3328519265484929,10.629497196,97.774962,10.346129946000003,89.21871948242188,6.666855812072754,1.7000000476837158,11.010000228881836,86.0,588.025390625,21,2528.051667148774,latency,1400,0,off,True
0.699,2076.95232746,84.4600993681928,8.764786868192804,1983.652297801,83.237685,10.062344659000075,75.6953125,5.340664863586426,1.7000000476837158,6.9710001945495605,25.2,591.021484375,21,2528.051667148774,splinter:latency,1800,10,off,True
0.699,118.293573629,89.05730967272844,0.36473612536515,10.567427209,97.706673,10.019473419999995,88.69257354736328,6.645680904388428,1.7999999523162842,11.017999649047852,81.7,588.025390625,22,175.96237014661824,cloud,1800,0,off,True
0.699,3926.014948339,16.818600892358912,16.818600892358912,3926.014938914,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,22,175.96237014661824,edge,1800,19,off,False
0.699,4403.413331087,80.52906324200418,16.934733408019817,4295.928707863,71.231582,36.25304122400064,63.594329833984375,4.225887775421143,1.7000000476837158,0.0,25.1,591.021484375,22,175.96237014661824,energy,1600,16,off,True
0.699,119.687505545,90.03592601811205,0.3358222583464265,10.588953016,98.370227,10.728325529000005,89.70010375976562,6.692286968231201,1.7000000476837158,10.906000137329102,86.7,588.025390625,22,175.96237014661824,latency,1400,0,off,True
0.699,147.164475658,90.1984199100968,0.4328101688858509,38.315006184,98.231042,10.618427473999986,89.76560974121094,6.684447765350342,1.7999999523162842,10.855999946594238,38.3,591.021484375,22,175.96237014661824,splinter:latency,1400,4,off,True
0.699,116.086544349,90.09094464148625,0.3551734622870087,7.825345487,98.55339,9.707808862000022,89.73577117919922,6.714005947113037,1.7000000476837158,10.87600040435791,80.0,588.025390625,23,1263.814394749618,cloud,1800,0,off,True
0.699,3938.663644251,16.857581301051834,16.857581301051834,3938.663633936,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,23,1263.814394749618,edge,1800,19,off,False
0.699,4387.644473872,82.4247884449354,16.90450951427134,4304.240110930999,72.71363,10.690732941000732,65.52027893066406,4.308901786804199,1.7000000476837158,0.0,25.1,591.021484375,23,1263.814394749618,energy,1600,16,off,True
0.699,117.321460081,83.09036818292196,0.3298319890743018,8.310975902,98.729583,10.280901178999995,82.76053619384766,6.702188968658447,1.7000000476837158,10.904999732971191,87.3,588.025390625,23,1263.814394749618,latency,1400,0,off,True
0.699,1110.381548374,88.97349132088802,4.607143054286456,1007.301387602,93.091551,9.988609772000004,84.36634826660156,6.148013114929199,1.7000000476837158,8.937999725341797,25.4,591.021484375,23,1263.814394749618,splinter:latency,1800,7,off,True
0.699,115.331985406,89.55153717152177,0.3553244029670834,7.62822645,97.569478,10.134280955999998,89.19621276855469,6.647058963775635,1.7000000476837158,11.02299976348877,81.6,588.025390625,24,345.56132476383783,cloud,1800,0,off,True
0.699,3931.002857575,16.85809406508452,16.85809406508452,3931.002847667,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,24,345.56132476383783,edge,1800,19,off,False
0.699,4369.700628391,78.45211796031725,16.86148456798327,4290.879041394,68.268682,10.552904996999942,61.590633392333984,4.0506768226623535,1.7000000476837158,0.0,25.1,591.021484375,24,345.56132476383783,energy,1600,16,off,True
0.699,116.445541053,89.69783141087773,0.3283322043347597,8.377393616,97.933065,10.135082436999994,89.36949920654297,6.680759906768799,1.7999999523162842,10.996999740600586,85.8,588.025390625,24,345.56132476383783,latency,1400,0,off,True
0.699,151.66472359099998,89.6163714194139,0.4380953574021816,43.02124958,97.616957,11.026517010999996,89.17827606201172,6.663003921508789,1.7999999523162842,10.970999717712402,38.4,591.021484375,24,345.56132476383783,splinter:latency,1200,4,off,True
0.699,116.092908827,89.62046008188382,0.3554606922353864,7.656390825,98.050717,10.385801001999994,89.26499938964844,6.698277950286865,1.7000000476837158,11.053999900817873,80.6,588.025390625,25,2946.95242328324,cloud,1800,0,off,True
0.699,3917.575496936,16.796810209027303,16.796810209027303,3917.575486843,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,25,2946.95242328324,edge,1800,19,off,False
0.699,4429.356475369001,78.67670156183699,17.030549065499105,4317.471989747,68.850275,43.0342106220012,61.64615249633789,4.061830043792725,1.7000000476837158,0.0,25.1,591.021484375,25,2946.95242328324,energy,1600,16,off,True
0.699,131.536850197,89.1638517837894,0.367152259863615,8.324260756,97.480513,25.732076441000004,88.79669952392578,6.619025230407715,1.7999999523162842,11.032999992370604,86.3,588.025390625,25,2946.95242328324,latency,1400,0,off,True
0.699,2080.622924522,84.29000421277408,8.771693665899074,1985.811440304,83.567212,11.244272218000262,75.518310546875,5.369764804840088,1.7999999523162842,6.964000225067139,25.2,591.021484375,25,2946.95242328324,splinter:latency,1800,10,off,True
0.699,120.211217289,90.83502014451216,0.3697262602348089,10.569720216,99.316926,10.324571073000016,90.46529388427734,6.744548797607422,1.7000000476837158,10.871999740600586,80.5,588.025390625,26,2596.812733257625,cloud,1800,0,off,True
0.699,3937.566089633,16.86681420006497,16.86681420006497,3937.566080541,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,26,2596.812733257625,edge,1800,19,off,False
0.699,4409.182802034001,79.05124060277312,16.965837160390304,4297.314757153,69.176718,42.691326881000975,62.08540344238281,4.096489906311035,1.7000000476837158,0.0,25.1,591.021484375,26,2596.812733257625,energy,1600,16,off,True
0.699,117.286395724,90.09836289081753,0.3289842287081361,8.27823929,98.42996,10.578196434000006,89.76937866210938,6.685328960418701,1.7999999523162842,10.979000091552734,86.4,588.025390625,26,2596.812733257625,latency,1400,0,off,True
0.699,2081.384989953,84.03602511576375,8.783865997111404,1986.658755723,83.196764,11.529470230000044,75.25215911865234,5.34650182723999,1.7000000476837158,6.965000152587891,25.2,591.021484375,26,2596.812733257625,splinter:latency,1800,10,off,True
0.699,116.785090714,90.9144942979249,0.3602721909913063,7.685644022,99.130552,9.968894692000006,90.5542221069336,6.735583782196045,1.7999999523162842,10.942999839782717,80.6,588.025390625,27,4533.204049643403,cloud,1800,0,off,True
0.699,3936.228662198,16.879568783822382,16.879568783822382,3936.228653253,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,27,4533.204049643403,edge,1800,19,off,False
0.699,4424.273030857001,79.28067806510882,17.004028590011167,4314.722906725,69.465135,40.08498913200074,62.276649475097656,4.15198278427124,1.7000000476837158,0.0,25.1,591.021484375,27,4533.204049643403,energy,1600,16,off,True
0.699,117.143856308,90.17715384043224,0.3289559034205317,8.287531053,98.64986,10.206465254999998,89.84819793701172,6.753058910369873,1.7999999523162842,10.946000099182127,85.8,588.025390625,27,4533.204049643403,latency,1400,0,off,True
0.699,4386.784632402,78.90048042221768,16.892110976416898,4306.843937183,69.217228,10.723467219000185,62.00836944580078,4.108255863189697,1.7000000476837158,0.0,25.1,591.021484375,27,4533.204049643403,splinter:latency,1600,16,off,True
0.699,117.091708587,90.93029816577824,0.360000924567306,7.693905366,98.930403,10.467400221000004,90.57029724121094,6.747482776641846,1.7000000476837158,10.923999786376951,80.8,588.025390625,28,1684.8273032111126,cloud,1800,0,off,True
0.699,3938.579361447,16.880185544892942,16.880185544892942,3938.57935091,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,28,1684.8273032111126,edge,1800,19,off,False
0.699,4412.604824244,79.63050753001072,16.984641135967752,4303.085207735,69.42482,40.09479650900012,62.64586639404297,4.1286468505859375,1.7000000476837158,0.0,25.1,591.021484375,28,1684.8273032111126,energy,1600,16,off,True
0.699,117.655286911,90.9676868132137,0.330052535869956,8.376131734,98.630307,10.648848177000003,90.63763427734376,6.734786987304688,1.7000000476837158,10.89900016784668,85.8,588.025390625,28,1684.8273032111126,latency,1400,0,off,True
0.699,2751.280465617,88.23177046729802,8.346577596204268,2652.55117383,87.974586,10.754705787000418,79.88519287109375,5.798070907592773,1.7999999523162842,8.519000053405762,25.3,591.021484375,28,1684.8273032111126,splinter:latency,800,8,off,True
0.699,117.585267959,92.23275188231226,0.3585377099489808,7.581324877999999,100.017784,9.986159080999997,91.87421417236328,6.8237810134887695,1.7000000476837158,10.793999671936035,80.9,588.025390625,29,1022.5919838564712,cloud,1800,0,off,True
0.699,3928.970616241,16.835090270949006,16.835090270949006,3928.970606926,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,29,1022.5919838564712,edge,1800,19,off,False
0.699,4452.8437080740005,79.32853520215318,17.095232132084824,4342.871092523,69.109058,40.86355755100067,62.23330307006836,4.135108947753906,1.7000000476837158,0.0,25.1,591.021484375,29,1022.5919838564712,energy,1600,16,off,True
0.699,117.219404975,90.93012669215324,0.3289761794579387,8.330015527,98.940097,9.949292447999994,90.60115051269533,6.7810959815979,1.7000000476837158,10.904999732971191,86.6,588.025390625,29,1022.5919838564712,latency,1400,0,off,True
0.699,932.79891602,87.48661410392494,3.234485502850712,829.705205811,91.890963,11.202747208999938,84.25212860107422,6.195652961730957,1.7999999523162842,9.947999954223633,25.6,591.021484375,29,1022.5919838564712,splinter:latency,1400,6,off,True
0.699,115.848848638,89.95547377284295,0.3555973690343499,7.584871001,98.028208,10.23576963699999,89.5998764038086,6.720104217529297,1.7000000476837158,10.984000205993652,82.8,588.025390625,30,430.2551602391425,cloud,1800,0,off,True
0.699,3944.676007207,16.891063742878583,16.891063742878583,3944.675997225,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,30,430.2551602391425,edge,1800,19,off,False
0.699,4460.409058444,84.85144119413911,17.110138703904738,4326.022567106,75.020638,59.36585333800026,67.74130249023438,4.43417501449585,1.7000000476837158,0.0,25.1,591.021484375,30,430.2551602391425,energy,1600,16,off,True
0.699,119.5036557,90.25037515902696,0.3344816043394685,10.596971337,98.497127,10.40955736299999,89.9158935546875,6.684062957763672,1.7000000476837158,10.888999938964844,85.8,588.025390625,30,430.2551602391425,latency,1400,0,off,True
0.699,150.692075235,89.1304267252005,0.4345038736379981,42.673529473,97.587868,10.430677762000002,88.6959228515625,6.628797054290772,1.7999999523162842,10.960000038146973,38.2,591.021484375,30,430.2551602391425,splinter:latency,1200,4,off,True
0.699,117.128170035,91.10796417712416,0.357643742553854,7.593799725999999,99.723572,9.810798308999992,90.75032043457033,6.76711893081665,1.7999999523162842,10.829999923706056,81.4,588.025390625,31,4143.538147717931,cloud,1800,0,off,True
0.699,3937.705755556,16.868014788405965,16.868014788405965,3937.70574576,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,31,4143.538147717931,edge,1800,19,off,False
0.699,4417.364952396,79.55284602971913,17.003586843928122,4308.516935765,69.651716,39.19630063100007,62.549259185791016,4.098515033721924,1.7000000476837158,0.0,25.1,591.021484375,31,4143.538147717931,energy,1600,16,off,True
